Runner,Name,Age,Country,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1,SCHOLZ SHARON,36,AUS,6,7,6,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HARVEY ‰ÛÒ JAMIESON SUSANNAH,20,AUS,6,7,7,5,4,0,0,4,4,4,0,4,4,1,0,0,0,0,0,0,0,0,0,0
3,LILLEY ALLISON,42,AUS,6,7,7,5,6,5,6,6,5,6,5,6,5,6,6,4,5,5,4,6,4,5,5,6
4,CORINO MARYLOU,34,CAN,6,6,7,5,6,6,5,6,5,5,5,4,4,4,4,4,3,4,4,3,4,4,3,5
5,CROMIE CHERIE,36,CAN,6,6,6,4,6,5,5,5,5,4,5,5,5,5,4,4,4,4,3,3,1,3,4,4
6,ZELINSKI SHARON,48,CAN,6,6,7,5,6,6,5,5,5,5,5,5,5,4,4,4,4,5,4,4,5,4,5,4
7,ARMSTRONG SUE,52,CAN,6,6,7,5,5,4,6,5,5,2,6,4,5,2,4,4,4,2,5,4,5,5,5,5
8,HLADKI MARIKA,39,CAN,5,6,6,5,6,5,5,5,4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,5
9,DIMITRIADU MICHAELA,39,CZE,6,8,7,6,7,7,7,6,6,6,7,6,6,6,7,6,7,6,7,6,7,7,7,7
10,NEMECKOVA MARTINA,47,CZE,6,7,7,5,5,5,6,5,4,5,3,5,3,5,4,3,5,3,4,5,3,4,3,5
11,HORÌÅKOVÌÅ RENATA,40,CZE,6,7,6,5,5,5,5,5,4,4,4,2,3,0,0,4,4,1,1,4,3,3,3,4
12,MAHATO ANNEDORTHE,42,DEN,6,7,7,5,6,6,6,5,5,6,5,5,5,5,6,4,5,4,3,4,4,4,2,3
13,ROSSEN ANNE-MARIE,38,DEN,6,7,7,6,6,5,6,6,5,6,5,5,5,5,5,4,4,5,4,4,4,4,3,4
14,ANDERSEN ANNE MARIE GEISLER,31,DEN,6,7,7,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,6,5,6,5,3,3
15,ANDERSEN HELLE,NA,DEN,6,6,7,4,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,4,2,2,4
16,ANDERSEN TINA,36,DEN,6,6,6,5,7,5,6,6,5,6,6,4,5,4,5,4,4,0,0,0,0,0,0,0
17,ANDERSEN KITT,45,DEN,6,7,8,5,6,6,5,6,5,4,6,3,2,3,3,3,4,3,3,3,4,2,3,4
18,ESNAOLA AGESTA EVA MARÌçA,52,ESP,6,7,7,6,7,6,7,6,6,5,7,5,6,5,5,6,5,5,5,6,5,6,6,6
19,GONZALEZ GARCÌçA CRISTINA,28,ESP,7,7,8,6,7,7,7,6,7,6,5,6,6,5,6,5,5,5,5,6,7,6,5,6
20,CLIMENT SOLANS ESTEFANIA,46,ESP,6,7,7,5,6,5,6,5,5,4,5,6,4,5,5,4,4,5,5,6,4,4,5,6
21,GARCÌçA PORTILLO AMELIA,45,ESP,6,6,6,4,5,5,4,3,2,3,1,4,1,0,1,3,3,2,3,2,2,0,0,3
22,JIMENEZ MARTÌçN CARMEN YOLANDA,49,ESP,6,6,7,4,5,4,5,4,5,5,4,3,2,3,3,3,3,3,3,3,3,3,3,5
23,BOTELLA GREGORI CARMEN,45,ESP,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,VENNIKAS HELEEN,25,EST,6,5,6,5,6,5,4,5,4,4,3,4,3,2,2,3,2,2,2,2,3,3,1,3
25,VENNIKAS PILLE,39,EST,4,4,5,4,4,4,3,3,4,3,3,3,2,2,2,2,0,2,2,2,3,3,1,3
26,TROSS SANDRA,52,EST,6,5,6,5,6,5,4,5,2,2,2,0,0,0,0,0,0,0,0,0,0,2,3,4
27,JALAJAS KRISTA,25,EST,6,6,7,6,6,5,5,5,5,4,2,4,4,3,4,2,3,0,4,5,4,2,4,5
28,VENNIKAS KRISTINA,23,EST,4,4,5,4,4,4,3,3,4,3,0,2,2,1,1,2,3,2,2,2,3,3,1,3
29,ANTELL TARJA,48,FIN,6,7,7,6,6,6,6,5,6,5,6,6,4,4,5,5,4,5,4,3,5,4,3,3
30,LEHTINEN HELI,46,FIN,6,5,7,5,6,6,5,6,5,6,5,6,5,5,5,5,4,6,5,5,5,5,5,5
31,SIIMES OUTI,41,FIN,6,7,7,6,6,7,6,6,6,5,6,5,4,6,5,5,5,5,5,6,5,3,0,0
32,SINISALO MARJUKKA,52,FIN,6,7,7,5,6,6,6,5,5,6,5,5,5,4,5,5,4,5,4,4,5,3,2,2
33,THORSTRÌ_M JAANA,49,FIN,6,6,7,5,7,5,6,6,5,6,6,4,6,4,6,5,4,5,5,5,5,5,5,6
34,TOIVONEN MARI,40,FIN,6,6,7,5,7,6,5,6,5,6,5,5,5,4,6,4,5,5,5,6,5,6,5,6
35,BOULY PASCALE,50,FRA,6,7,8,6,6,7,6,6,7,6,6,5,5,5,5,4,5,4,5,5,4,5,5,7
36,FONTAINE Anne Cecile,57,FRA,6,7,8,6,6,7,7,6,5,5,2,0,0,0,0,0,0,0,0,0,0,1,1,1
37,MASSIF CATHERINE,48,FRA,6,7,8,6,6,7,6,6,6,6,4,4,4,4,4,4,5,5,3,4,3,1,0,4
38,NISSEN CECILE,40,FRA,6,7,8,6,6,7,6,7,7,6,6,7,6,6,7,6,6,6,6,6,6,5,6,6
39,PEUCH SYLVIE,51,FRA,6,7,8,5,7,7,5,5,6,7,7,5,3,6,5,3,2,0,5,6,5,5,5,5
40,VERNET ANNE MARIE,45,FRA,6,7,7,6,7,6,7,6,7,6,7,6,6,7,5,6,5,6,5,4,6,6,5,5
41,GELDER EMILY,37,GBR,7,7,8,7,7,7,7,6,7,7,6,7,6,7,6,6,6,7,5,6,5,6,5,6
42,MARTIN-CONSANI DEBBIE,37,GBR,6,7,8,6,7,7,7,6,7,6,7,6,6,6,7,5,6,6,4,5,5,3,4,3
43,HATHAWAY KAREN,35,GBR,6,7,7,6,6,6,6,6,5,6,6,5,4,3,3,4,3,4,4,5,3,3,3,5
44,LAW SHARON,37,GBR,6,7,8,6,7,6,7,6,6,7,6,5,6,6,6,5,5,5,5,4,4,5,4,4
45,SALTER JENNIFER,38,GBR,6,7,8,6,7,6,7,7,6,6,6,6,5,4,5,2,0,0,0,0,0,0,0,0
46,CHRIST HEIKE,43,GER,6,6,7,6,6,7,6,6,6,6,5,6,6,5,6,6,5,6,6,5,6,4,0,0
47,HEINLEIN MARIKA,50,GER,6,6,7,6,6,6,6,6,6,5,6,5,5,5,6,5,5,6,4,6,6,5,6,6
48,KRAUSE ANTJE,40,GER,6,7,8,6,6,7,6,7,6,6,6,5,6,6,6,5,5,5,5,4,6,5,5,6
49,SEIDEL GRIT,42,GER,6,6,7,5,6,5,5,6,5,6,4,5,4,4,5,4,4,3,4,4,3,3,3,4
50,STRASS MELANIE,47,GER,6,7,7,6,6,6,6,7,6,6,6,6,6,6,5,6,5,5,6,6,6,6,5,7
51,MAKAI VIKTÌÒRIA,32,HUN,7,6,8,5,6,6,6,6,5,5,6,3,4,4,3,4,2,2,3,4,3,2,2,3
52,MÌÅTÌäNÌä VARJÌ_ EDIT,41,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,HORVÌÅTH MÌÒNIKA,46,HUN,6,7,7,5,7,6,5,6,6,5,7,4,6,4,5,5,4,4,4,5,5,4,4,5
54,GURDON ÌäVA,33,HUN,6,6,7,5,6,6,5,5,6,6,6,6,4,5,5,4,4,6,5,4,4,3,3,4
55,DRUSKÌÒ ZSÌÒFIA,46,HUN,6,7,7,6,6,6,6,5,6,5,6,4,4,5,5,6,6,5,6,6,5,4,4,4
56,VAJDA ANITA,36,HUN,6,7,7,5,6,7,6,5,6,5,5,5,5,4,5,4,5,4,4,4,4,3,3,3
57,FINN DEIRDRE,46,IRL,7,7,7,5,5,6,5,4,4,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0
58,SHEEHAN RUTHANNE,37,IRL,7,7,7,6,7,7,6,6,6,6,6,6,6,5,7,6,5,6,6,5,7,6,6,6
59,BARCHETTI MONICA,44,ITA,7,6,8,6,6,7,6,6,6,6,5,6,5,4,5,4,4,5,4,6,5,6,6,7
60,CASIRAGHI MONICA,43,ITA,7,8,8,6,8,7,7,6,7,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0
61,DI VITO LORENA ANTONIETTA,50,ITA,6,6,7,5,6,6,5,5,4,4,3,4,4,3,5,4,3,4,4,4,3,3,3,3
62,FOSSATI MARIA ILARIA,40,ITA,6,7,7,6,6,7,6,6,6,7,5,6,5,5,4,4,3,3,1,0,0,0,0,0
63,GROSS ANNEMARIE,43,ITA,7,6,8,5,7,6,7,6,6,6,5,6,5,6,5,4,5,1,0,0,0,0,0,0
64,MOLING MONIKA,38,ITA,6,5,7,4,6,6,5,6,5,6,5,6,5,5,5,4,5,4,4,5,4,4,5,5
65,OLIVERI VIRGINIA,37,ITA,6,6,7,6,6,6,5,6,5,5,5,4,4,3,5,4,5,6,4,6,4,4,3,7
66,VALDO SARA,38,ITA,6,6,7,5,6,6,6,6,5,6,5,4,5,4,5,4,5,4,5,3,4,4,4,4
67,KUDO MAMI,48,JPN,7,8,9,6,8,7,6,4,4,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0
68,ITO YUKO,40,JPN,7,7,8,6,6,7,7,5,5,5,6,4,5,6,6,6,4,5,5,5,6,5,6,7
69,SUZUKI KOTOMI,37,JPN,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,FJODOROVA INARA,47,LAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
